code,code50,Name_Fi,Name_Sv,Name_AltGen,Name_Alt,province_Fi,province_Sv,Status,Urban
539,241013,Nuijamaa,,,,Viipurin lääni,Viborgs län,Partially_Ceded,0.0
580,241014,Parikkala,,,,Viipurin lääni,Viborgs län,Partially_Ceded,0.0
624,041015,Pyhtää,Pyttis,,,Kymen lääni,Kymmene län,Remain,0.0
689,241016,Rautjärvi,,,Rantjärvi,Viipurin lääni,Viborgs län,Partially_Ceded,0.0
700,041017,Ruokolahti,,,,Kymen lääni,Kymmene län,Remain,0.0
728,241018,Saari,,,,Viipurin lääni,Viborgs län,Partially_Ceded,0.0
739,041019,Savitaipale,,,,Kymen lääni,Kymmene län,Remain,0.0
752,241020,Simpele,,,,Viipurin lääni,Viborgs län,Partially_Ceded,0.0
754,041021,Sippola,,,,Kymen lääni,Kymmene län,Remain,0.0
775,041022,Suomenniemi,,,,Kymen lääni,Kymmene län,Remain,0.0
831,041023,Taipalsaari,,,,Kymen lääni,Kymmene län,Remain,0.0
891,241024,Uukuniemi,,,,Viipurin lääni,Viborgs län,Partially_Ceded,0.0
909,041025,Valkeala,,,,Kymen lääni,Kymmene län,Remain,0.0
917,041026,Vehkalahti,,,,Kymen lääni,Kymmene län,Remain,0.0
935,241027,Virolahti,,,,Viipurin lääni,Viborgs län,Partially_Ceded,0.0
978,241028,Ylämaa,,,,Viipurin lääni,Viborgs län,Partially_Ceded,0.0
491,050010,Mikkeli,St_Michel,,,Mikkelin lääni,St Michels län,Remain,1.0
88,050020,Heinola,,,,Mikkelin lääni,St Michels län,Remain,1.0
740,050030,Savonlinna,Nyslott,,Savolinna,Mikkelin lääni,St Michels län,Remain,1.0
593,050110,Pieksämäki,Pieksämän kla,Pieksämäki kla,Pieksämäen kla,Mikkelin lääni,St Michels län,Remain,1.0
14,051001,Anttola,,,,Mikkelin lääni,St Michels län,Remain,0.0
46,051002,Enonkoski,,,,Mikkelin lääni,St Michels län,Remain,0.0
81,051003,Hartola,,,,Mikkelin lääni,St Michels län,Remain,0.0
85,051004,Haukivuori,,,,Mikkelin lääni,St Michels län,Remain,0.0
89,051005,Heinolan mlk,Heinola lk,Heinola mlk,,Mikkelin lääni,St Michels län,Remain,0.0
90,051006,Heinävesi,,,,Mikkelin lääni,St Michels län,Remain,0.0
97,051007,Hirvensalmi,,,,Mikkelin lääni,St Michels län,Remain,0.0
171,051008,Joroinen,Jorois,,,Mikkelin lääni,St Michels län,Remain,0.0
172,051009,Joutsa,,,,Mikkelin lääni,St Michels län,Remain,0.0
178,051010,Juva,Jockas,,,Mikkelin lääni,St Michels län,Remain,0.0
184,051011,Jäppilä,,,,Mikkelin lääni,St Michels län,Remain,0.0
212,051012,Kangaslampi,,,,Mikkelin lääni,St Michels län,Remain,0.0
213,051013,Kangasniemi,,,,Mikkelin lääni,St Michels län,Remain,0.0
246,051014,Kerimäki,,,,Mikkelin lääni,St Michels län,Remain,0.0
415,051015,Leivonmäki,,,,Mikkelin lääni,St Michels län,Remain,0.0
435,051016,Luhanka,,,,Mikkelin lääni,St Michels län,Remain,0.0
492,051017,Mikkelin mlk,St_Michels lk,Mikkeli mlk,,Mikkelin lääni,St Michels län,Remain,0.0
507,051018,Mäntyharju,,,,Mikkelin lääni,St Michels län,Remain,0.0
588,051019,Pertunmaa,,,,Mikkelin lääni,St Michels län,Remain,0.0
594,051020,Pieksämäen mlk,Pieksämäki lk,Pieksämäki mlk,,Mikkelin lääni,St Michels län,Remain,0.0
618,051021,Punkaharju,,,,Mikkelin lääni,St Michels län,Remain,0.0
623,051022,Puumala,,,,Mikkelin lääni,St Michels län,Remain,0.0
681,051023,Rantasalmi,,,,Mikkelin lääni,St Michels län,Remain,0.0
696,051024,Ristiina,,,,Mikkelin lääni,St Michels län,Remain,0.0
741,051025,Savonranta,,,,Mikkelin lääni,St Michels län,Remain,0.0
768,051026,Sulkava,,,,Mikkelin lääni,St Michels län,Remain,0.0
781,051027,Sysmä,,,,Mikkelin lääni,St Michels län,Remain,0.0
789,051028,Sääminki,,,,Mikkelin lääni,St Michels län,Remain,0.0
937,051029,Virtasalmi,,,,Mikkelin lääni,St Michels län,Remain,0.0
297,060010,Kuopio,,,,Kuopion lääni,Kuopio län,Remain,1.0
140,060020,Iisalmi,,,,Kuopion lääni,Kuopio län,Remain,1.0
167,060030,Joensuu,,,,Kuopion lääni,Kuopio län,Remain,1.0
422,060110,Lieksa,,Lieksa kla,Lieksan kla,Kuopion lääni,Kuopio län,Remain,1.0
541,060120,Nurmes,,Nurmes kla,Nurmeksen kla,Kuopion lääni,Kuopio län,Remain,1.0
915,060130,Varkaus,,Varkaus kla,Varkauden kla,Kuopion lääni,Kuopio län,Remain,1.0
45,061001,Eno,,,,Kuopion lääni,Kuopio län,Remain,0.0
77,061002,Hankasalmi,,,,Kuopion lääni,Kuopio län,Remain,0.0
141,061003,Iisalmen mlk,,Iisalmi mlk,,Kuopion lääni,Kuopio län,Remain,0.0
146,261004,Ilomantsi,Ilomants,,,Kuopion lääni,Kuopio län,Partially_Ceded,0.0
174,061005,Juankoski,,,Juuankoski,Kuopion lääni,Kuopio län,Remain,0.0
176,061006,Juuka,,,,Kuopion lääni,Kuopio län,Remain,0.0
204,061007,Kaavi,,,,Kuopion lääni,Kuopio län,Remain,0.0
227,061008,Karttula,,,,Kuopion lääni,Kuopio län,Remain,0.0
239,061009,Keitele,,,,Kuopion lääni,Kuopio län,Remain,0.0
248,061010,Kesälahti,,,,Kuopion lääni,Kuopio län,Remain,0.0
251,061011,Kiihtelysvaara,,,,Kuopion lääni,Kuopio län,Remain,0.0
260,261012,Kitee,,,,Kuopion lääni,Kuopio län,Partially_Ceded,0.0
263,061013,Kiuruvesi,,,,Kuopion lääni,Kuopio län,Remain,0.0
275,061014,Konnevesi,,,,Kuopion lääni,Kuopio län,Remain,0.0
276,061015,Kontiolahti,,,,Kuopion lääni,Kuopio län,Remain,0.0
298,061016,Kuopion mlk,,Kuopio mlk,,Kuopion lääni,Kuopio län,Remain,0.0
309,061017,Kuusjärvi,,,Outokumpu,Kuopion lääni,Kuopio län,Remain,0.0
402,061018,Lapinlahti,,,,Kuopion lääni,Kuopio län,Remain,0.0
420,061019,Leppävirta,,,,Kuopion lääni,Kuopio län,Remain,0.0
426,061020,Liperi,Libelits,,,Kuopion lääni,Kuopio län,Remain,0.0
476,061021,Maaninka,,,,Kuopion lääni,Kuopio län,Remain,0.0
502,061022,Muuruvesi,,,,Kuopion lääni,Kuopio län,Remain,0.0
534,061023,Nilsiä,,,,Kuopion lääni,Kuopio län,Remain,0.0
542,061024,Nurmeksen mlk,Nurmes lk,Nurmes mlk,,Kuopion lääni,Kuopio län,Remain,0.0
595,061025,Pielavesi,,,,Kuopion lääni,Kuopio län,Remain,0.0
596,061026,Pielisensuu,,,,Kuopion lääni,Kuopio län,Remain,0.0
597,061027,Pielisjärvi,,,,Kuopion lääni,Kuopio län,Remain,0.0
607,061028,Polvijärvi,,,,Kuopion lääni,Kuopio län,Remain,0.0
632,061029,Pyhäselkä,,,,Kuopion lääni,Kuopio län,Remain,0.0
686,061030,Rautalampi,,,,Kuopion lääni,Kuopio län,Remain,0.0
687,061031,Rautavaara,,,,Kuopion lääni,Kuopio län,Remain,0.0
695,061032,Riistavesi,,,,Kuopion lääni,Kuopio län,Remain,0.0
707,061033,Rääkkylä,,,,Kuopion lääni,Kuopio län,Remain,0.0
749,061034,Siilinjärvi,,,,Kuopion lääni,Kuopio län,Remain,0.0
762,061035,Sonkajärvi,,,,Kuopion lääni,Kuopio län,Remain,0.0
778,061036,Suonenjoki,,,Suonnejoki,Kuopion lääni,Kuopio län,Remain,0.0
786,061037,Säyneinen,,,,Kuopion lääni,Kuopio län,Remain,0.0
844,061038,Tervo,,,,Kuopion lääni,Kuopio län,Remain,0.0
848,061039,Tohmajärvi,,,,Kuopion lääni,Kuopio län,Remain,0.0
856,061040,Tuupovaara,,,Kovero,Kuopion lääni,Kuopio län,Remain,0.0
857,061041,Tuusniemi,,,,Kuopion lääni,Kuopio län,Remain,0.0
911,061042,Valtimo,,,,Kuopion lääni,Kuopio län,Remain,0.0
916,061043,Varpaisjärvi,,,,Kuopion lääni,Kuopio län,Remain,0.0
919,061044,Vehmersalmi,,,,Kuopion lääni,Kuopio län,Remain,0.0
921,061045,Vesanto,,,,Kuopion lääni,Kuopio län,Remain,0.0
925,061046,Vieremä,,,,Kuopion lääni,Kuopio län,Remain,0.0
943,261047,Värtsilä,,,,Kuopion lääni,Kuopio län,Partially_Ceded,0.0
905,070010,Vaasa,Vasa,,,Vaasan lääni,Vasa län,Remain,1.0
179,070020,Jyväskylä,,,,Vaasan lääni,Vasa län,Remain,1.0
231,070030,Kaskinen,Kaskö,,,Vaasan lääni,Vasa län,Remain,1.0
272,070040,Kokkola,Gamlakarleby,,,Vaasan lääni,Vasa län,Remain,1.0
287,070050,Kristiinankaupunki,Kristinestad,Kristiinankaupunki kla,Kristiinankaupungin kla,Vaasan lääni,Vasa län,Remain,1.0
598,070060,Pietarsaari,Jakobstad,,,Vaasan lääni,Vasa län,Remain,1.0
893,070070,Uusikaarlepyy,Nykarleby,,Uusikaarleby,Vaasan lääni,Vasa län,Remain,1.0
743,070110,Seinäjoki,,Seinäjoki kla,Seinäjoen kla,Vaasan lääni,Vasa län,Remain,1.0
774,070120,Suolahti,,Suolahti kla,Suolahden kla,Vaasan lääni,Vasa län,Remain,1.0
992,070130,Äänekoski,,Äänekoski kla,Äänekosken kla,Vaasan lääni,Vasa län,Remain,1.0
4,071001,Alahärmä,,,Ahla härmä,Vaasan lääni,Vasa län,Remain,0.0
5,071002,Alajärvi,,,,Vaasan lääni,Vasa län,Remain,0.0
8,071003,Alaveteli,Nedervetil,,,Vaasan lääni,Vasa län,Remain,0.0
10,071004,Alavus,Alavo,,,Vaasan lääni,Vasa län,Remain,0.0
